Date,Country,Market
1994-01-31,AT,DM
1994-01-31,AU,DM
1994-01-31,BE,DM
1994-01-31,CA,DM
1994-01-31,CH,DM
1994-01-31,DE,DM
1994-01-31,DK,DM
1994-01-31,ES,DM
1994-01-31,FI,DM
1994-01-31,FR,DM
1994-01-31,GB,DM
1994-01-31,HK,DM
1994-01-31,IE,DM
1994-01-31,IT,DM
1994-01-31,JP,DM
1994-01-31,NL,DM
1994-01-31,NO,DM
1994-01-31,NZ,DM
1994-01-31,SE,DM
1994-01-31,SG,DM
1994-01-31,US,DM
1994-02-28,AT,DM
1994-02-28,AU,DM
1994-02-28,BE,DM
1994-02-28,CA,DM
1994-02-28,CH,DM
1994-02-28,DE,DM
1994-02-28,DK,DM
1994-02-28,ES,DM
1994-02-28,FI,DM
1994-02-28,FR,DM
1994-02-28,GB,DM
1994-02-28,HK,DM
1994-02-28,IE,DM
1994-02-28,IT,DM
1994-02-28,JP,DM
1994-02-28,NL,DM
1994-02-28,NO,DM
1994-02-28,NZ,DM
1994-02-28,SE,DM
1994-02-28,SG,DM
1994-02-28,US,DM
1994-03-31,AT,DM
1994-03-31,AU,DM
1994-03-31,BE,DM
1994-03-31,CA,DM
1994-03-31,CH,DM
1994-03-31,DE,DM
1994-03-31,DK,DM
1994-03-31,ES,DM
1994-03-31,FI,DM
1994-03-31,FR,DM
1994-03-31,GB,DM
1994-03-31,HK,DM
1994-03-31,IE,DM
1994-03-31,IT,DM
1994-03-31,JP,DM
1994-03-31,NL,DM
1994-03-31,NO,DM
1994-03-31,NZ,DM
1994-03-31,SE,DM
1994-03-31,SG,DM
1994-03-31,US,DM
1994-04-29,AT,DM
1994-04-29,AU,DM
1994-04-29,BE,DM
1994-04-29,CA,DM
1994-04-29,CH,DM
1994-04-29,DE,DM
1994-04-29,DK,DM
1994-04-29,ES,DM
1994-04-29,FI,DM
1994-04-29,FR,DM
1994-04-29,GB,DM
1994-04-29,HK,DM
1994-04-29,IE,DM
1994-04-29,IT,DM
1994-04-29,JP,DM
1994-04-29,NL,DM
1994-04-29,NO,DM
1994-04-29,NZ,DM
1994-04-29,SE,DM
1994-04-29,SG,DM
1994-04-29,US,DM
1994-05-31,AT,DM
1994-05-31,AU,DM
1994-05-31,BE,DM
1994-05-31,CA,DM
1994-05-31,CH,DM
1994-05-31,DE,DM
1994-05-31,DK,DM
1994-05-31,ES,DM
1994-05-31,FI,DM
1994-05-31,FR,DM
1994-05-31,GB,DM
1994-05-31,HK,DM
1994-05-31,IE,DM
1994-05-31,IT,DM
1994-05-31,JP,DM
1994-05-31,NL,DM
1994-05-31,NO,DM
1994-05-31,NZ,DM
1994-05-31,SE,DM
1994-05-31,SG,DM
1994-05-31,US,DM
1994-06-30,AT,DM
1994-06-30,AU,DM
1994-06-30,BE,DM
1994-06-30,CA,DM
1994-06-30,CH,DM
1994-06-30,DE,DM
1994-06-30,DK,DM
1994-06-30,ES,DM
1994-06-30,FI,DM
1994-06-30,FR,DM
1994-06-30,GB,DM
1994-06-30,HK,DM
1994-06-30,IE,DM
1994-06-30,IT,DM
1994-06-30,JP,DM
1994-06-30,NL,DM
1994-06-30,NO,DM
1994-06-30,NZ,DM
1994-06-30,SE,DM
1994-06-30,SG,DM
1994-06-30,US,DM
1994-07-29,AT,DM
1994-07-29,AU,DM
1994-07-29,BE,DM
1994-07-29,CA,DM
1994-07-29,CH,DM
1994-07-29,DE,DM
1994-07-29,DK,DM
1994-07-29,ES,DM
1994-07-29,FI,DM
1994-07-29,FR,DM
1994-07-29,GB,DM
1994-07-29,HK,DM
1994-07-29,IE,DM
1994-07-29,IT,DM
1994-07-29,JP,DM
1994-07-29,NL,DM
1994-07-29,NO,DM
1994-07-29,NZ,DM
1994-07-29,SE,DM
1994-07-29,SG,DM
1994-07-29,US,DM
1994-08-31,AT,DM
1994-08-31,AU,DM
1994-08-31,BE,DM
1994-08-31,CA,DM
1994-08-31,CH,DM
1994-08-31,DE,DM
1994-08-31,DK,DM
1994-08-31,ES,DM
