Country,Market
AE,EM
AR,FM
AT,DM
AU,DM
BD,FM
BE,DM
BG,FM
BH,FM
BR,EM
BW,FM
CA,DM
CH,DM
CI,FM
CL,EM
CN,EM
CO,EM
CR,FM
CY,FM
CZ,EM
DE,DM
DK,DM
EC,FM
EE,FM
EG,EM
ES,DM
FI,DM
FR,DM
GB,DM
GH,FM
GR,EM
HK,DM
HR,FM
HU,EM
ID,EM
IE,DM
IL,DM
IN,EM
IS,FM
IT,DM
JO,FM
JP,DM
KE,FM
KR,EM
KW,EM
KZ,FM
LB,FM
LK,FM
LT,FM
LV,FM
MA,FM
MT,FM
MU,FM
MX,EM
MY,EM
NA,FM
NG,FM
NL,DM
NO,DM
NZ,DM
OM,FM
PA,FM
PE,EM
PH,EM
PK,FM
PL,EM
PT,DM
QA,EM
RO,FM
RS,FM
RU,EM
SA,EM
SE,DM
SG,DM
SI,FM
SK,FM
TH,EM
TN,FM
TR,EM
TW,EM
UA,FM
UG,FM
US,DM
VN,FM
ZA,EM
ZM,FM
